0.000000 15
0.100000 13
0.200000 14
0.300000 3
0.400000 6
0.500000 2
0.600000 3
0.700000 3
0.800000 5
0.900000 6
1.000000 15
1.100000 6
1.200000 7
1.300000 7
1.400000 6
1.500000 3
1.600000 6
1.700000 6
1.800000 5
1.900000 9
2.000000 6
2.100000 5
2.200000 9
2.300000 7
2.400000 6
2.500000 6
2.600000 4
2.700000 5
2.800000 8
2.900000 9
3.000000 5
3.100000 5
3.200000 3
3.300000 8
3.400000 3
3.500000 6
3.600000 10
3.700000 8
3.800000 5
3.900000 4
4.000000 5
4.100000 6
4.200000 6
4.300000 8
4.400000 5
4.500000 3
4.600000 8
4.700000 8
4.800000 9
4.900000 2
5.000000 3
5.100000 6
5.200000 6
5.300000 7
5.400000 6
5.500000 7
5.600000 6
5.700000 4
5.800000 12
5.900000 0
6.000000 4
6.100000 3
6.200000 10
6.300000 8
6.400000 9
6.500000 6
6.600000 3
6.700000 6
6.800000 2
6.900000 4
7.000000 7
7.100000 6
7.200000 10
7.300000 11
7.400000 10
7.500000 3
7.600000 3
7.700000 2
7.800000 0
7.900000 0
8.000000 5
8.100000 5
8.200000 7
8.300000 4
8.400000 0
8.500000 2
8.600000 1
8.700000 0
8.800000 1
8.900000 1
