0.000000 42
0.100000 9
0.200000 5
0.300000 2
0.400000 1
0.500000 1
0.600000 2
0.700000 6
0.800000 12
0.900000 17
1.000000 10
1.100000 5
1.200000 7
1.300000 4
1.400000 3
1.500000 3
1.600000 7
1.700000 6
1.800000 18
1.900000 5
2.000000 8
2.100000 4
2.200000 3
2.300000 3
2.400000 6
2.500000 5
2.600000 12
2.700000 15
2.800000 4
2.900000 6
3.000000 3
3.100000 4
3.200000 7
3.300000 5
3.400000 7
3.500000 7
3.600000 11
3.700000 4
3.800000 5
3.900000 9
4.000000 5
4.100000 8
4.200000 4
4.300000 7
4.400000 3
4.500000 7
4.600000 11
4.700000 3
4.800000 7
4.900000 4
5.000000 6
5.100000 7
5.200000 5
5.300000 5
5.400000 9
5.500000 6
5.600000 5
5.700000 5
5.800000 7
5.900000 2
6.000000 6
6.100000 8
6.200000 10
6.300000 5
6.400000 4
6.500000 5
6.600000 5
6.700000 4
6.800000 2
6.900000 6
7.000000 5
7.100000 16
7.200000 7
7.300000 7
7.400000 1
7.500000 0
7.600000 0
7.700000 0
7.800000 0
7.900000 0
8.000000 5
8.100000 5
8.200000 0
8.300000 0
8.400000 0
8.500000 1
8.600000 0
8.700000 0
8.800000 0
8.900000 0
9.000000 1
