0.000000 40
0.100000 14
0.200000 3
0.300000 1
0.400000 3
0.500000 1
0.600000 0
0.700000 4
0.800000 13
0.900000 23
1.000000 9
1.100000 5
1.200000 2
1.300000 1
1.400000 4
1.500000 5
1.600000 9
1.700000 9
1.800000 13
1.900000 8
2.000000 6
2.100000 4
2.200000 2
2.300000 3
2.400000 7
2.500000 13
2.600000 10
2.700000 8
2.800000 9
2.900000 4
3.000000 3
3.100000 3
3.200000 7
3.300000 6
3.400000 9
3.500000 9
3.600000 6
3.700000 4
3.800000 9
3.900000 3
4.000000 2
4.100000 5
4.200000 8
4.300000 7
4.400000 11
4.500000 7
4.600000 4
4.700000 4
4.800000 4
4.900000 5
5.000000 7
5.100000 7
5.200000 8
5.300000 8
5.400000 7
5.500000 6
5.600000 3
5.700000 2
5.800000 3
5.900000 7
6.000000 6
6.100000 8
6.200000 11
6.300000 8
6.400000 6
6.500000 1
6.600000 2
6.700000 1
6.800000 2
6.900000 6
7.000000 11
7.100000 16
7.200000 11
7.300000 3
7.400000 1
7.500000 0
7.600000 0
7.700000 0
7.800000 0
7.900000 0
8.000000 5
8.100000 5
8.200000 1
8.300000 0
8.400000 0
8.500000 0
8.600000 0
8.700000 0
8.800000 0
8.900000 1
